,PHARMACLASS,DRUG
3002889,N0000009947,J05AF
3002890,N0000000160,S01BC
3002891,N0000175365,C10AC
3002893,N0000175972,L01XX
3002894,N0000175450,D07AC
3002895,N0000009918,M03BX
3002896,N0000000233,L01BC
3002897,N0000008217,H02CA
3002898,N0000007853,J01GA
3002899,N0000007700,D10AD
3002900,N0000191267,J01XA
3002901,N0000000146,G03BA
3002903,N0000182147,R05DA
3002904,N0000175729,N06BA
3002905,N0000009948,J05AG
3002906,N0000175969,B02BX
3002907,N0000011161,J01DD
3002908,N0000191266,N03AF
3002909,N0000008016,N05CA
3002910,N0000175459,J05AF
3002911,N0000007710,G02AD
3002912,N0000190111,L01EC
3002913,N0000008217,D01AC
3002914,N0000191265,L01ED
3002916,N0000185503,J05AP
3002917,N0000190107,J05AP
3002918,N0000008486,N03AG
3002919,N0000007196,S01EB
3002920,N0000000100,G03CA
3002921,N0000007658,J01XE
3002922,N0000008330,C07AA
3002924,N0000007568,J01XX
3002925,N0000175086,L01XX
3002926,N0000175976,N01BB
3002927,N0000175721,M01AB
3002928,N0000191272,J05AE
3002929,N0000008048,N03AX
3002930,N0000187061,L01ED
3002931,N0000175628,R01AC
3002932,N0000175685,N02AE
3002933,N0000175076,L04AA
3002934,N0000175460,J05AG
3002935,N0000175375,C10AB
3002936,N0000175685,N02AD
3002937,N0000175359,C03BA
3002938,N0000009917,R01BA
3002939,N0000187064,J05AG
3002940,N0000185607,L01EC
3002942,N0000175651,N06BA
3002943,N0000000236,L01AA
3002944,N0000184148,L01XJ
3002945,N0000008054,A10BB
3002947,N0000007681,N01BB
3002948,N0000006277,A11CC
3002949,N0000178478,C01CA
3002950,N0000175975,N05CM
3002951,N0000171131,C05AD
3002952,N0000185503,L01ED
3002953,N0000000236,L01AA
3002954,N0000007909,D05BA
3002955,N0000175379,D11AX
3002956,N0000007948,J01AA
3002957,N0000175817,A04AA
3002958,N0000008841,D10AX
3002959,N0000175635,B01AX
3002960,N0000005934,G03DA
3002961,N0000007948,D06AA
3002962,N0000187064,J05AG
3002963,N0000008486,N03AX
3002964,N0000009905,C05BB
3002965,N0000011281,J01CF
3002966,N0000000174,A07DA
3002967,N0000175721,N02BA
3002968,N0000007706,S01EE
3002969,N0000175366,C03CA
3002970,N0000011310,C03DA
3002971,N0000007529,S01AA
3002972,N0000007542,N05CD
3002973,N0000175975,N01AX
3002974,N0000175914,H01BA
3002975,N0000175450,S01BA
3002976,N0000175729,N06BC
3002977,N0000000176,L01CE
3002978,N0000190110,L01EC
3002979,N0000182141,A04AD
3002980,N0000000106,S01EE
3002981,N0000008054,V04CA
3002982,N0000000070,C09CA
3002983,N0000185507,N03AB
3002984,N0000008053,J04BA
3002985,N0000182143,B01AC
3002987,N0000000102,N06AX
3002988,N0000009922,R03CC
3002989,N0000190115,H02CA
3002990,N0000010217,L01XD
3002991,N0000185503,R07AX
3002992,N0000175912,A10BH
3002993,N0000175976,N01BB
3002994,N0000175085,L01XX
3002995,N0000190114,L01ED
3002996,N0000000206,M04AA
3002997,N0000185506,N03AF
3002998,N0000011301,G03AC
3002999,N0000182143,B01AC
3003000,N0000175965,B02BA
3003001,N0000007715,C01CA
3003002,N0000170118,C10AB
3003003,N0000190107,B02BX
3003004,N0000007715,R03AA
3003005,N0000007706,G02AD
3003006,N0000000190,S01GX
3003007,N0000000154,N07BB
3003008,N0000182141,L04AA
3003009,N0000175076,L01EC
3003010,N0000008217,A01AB
3003011,N0000008478,D09AA
3003012,N0000167510,G03CA
3003013,N0000011301,G03AC
3003014,N0000009948,J05AG
3003015,N0000007544,N05AC
3003016,N0000007780,L01CA
3003017,N0000175799,N05AD
3003018,N0000000176,L01DB
3003019,N0000009982,S01AA
3003020,N0000007606,J01MA
3003021,N0000175374,A10BG
3003022,N0000011272,A10BG
3003023,N0000175976,N01BB
3003024,N0000175450,S01BA
3003025,N0000182141,J05AE
3003026,N0000006276,B03BA
3003027,N0000007556,C08CA
3003028,N0000191624,P02CA
3003029,N0000182137,L01EX
3003030,N0000182138,C01BD
3003031,N0000007707,M05BA
3003032,N0000000146,G03BA
3003033,N0000009909,B01AC
3003034,N0000007542,N05CD
3003035,N0000008486,N03AB
3003036,N0000007706,G04BE
3003037,N0000185504,J05AG
3003038,N0000175450,D07AC
3003041,N0000007542,N05BA
3003042,N0000009526,S01EE
3003043,N0000009724,A02BC
3003044,N0000182137,J05AE
3003045,N0000008217,G01AF
3003046,N0000185503,H02CA
3003047,N0000175976,S01HA
3003048,N0000007544,N05AB
3003049,N0000175459,J05AB
3003050,N0000175729,N06BA
3003051,N0000175763,N02CC
3003052,N0000175450,D07AB
3003053,N0000000151,A02BA
3003054,N0000000146,G03XA
3003055,N0000008732,D01AA
3003056,N0000000114,A08AA
3003057,N0000006277,D05AX
3003058,N0000000160,S01BC
3003059,N0000175549,A16AA
3003060,N0000009909,B01AC
3003061,N0000005760,A07EC
3003062,N0000190114,J01FA
3003064,N0000191278,B02BX
3003065,N0000007948,G01AA
3003066,N0000007672,A07AA
3003067,N0000000233,L01BB
3003069,N0000007556,C08CA
3003070,N0000009456,N06AX
3003071,N0000175436,J05AH
3003072,N0000007853,J01GB
3003074,N0000000236,L01AA
3003075,N0000175459,J05AF
3003076,N0000175359,C03DB
3003077,N0000011281,J01CE
3003078,N0000008867,R05CB
3003079,N0000008118,N06BC
3003080,N0000182137,L04AA
3003081,N0000175799,A03FA
3003082,N0000182141,H02CA
3003083,N0000000190,S01GX
3003084,N0000020081,H05BX
3003085,N0000175851,D11AX
3003086,N0000175721,M02AA
3003087,N0000185503,N03AX
3003088,N0000175721,G02CC
3003089,N0000000236,L01CX
3003091,N0000175921,V04CD
3003093,N0000175533,S01JA
3003094,N0000190115,B01AC
3003095,N0000185506,L02BB
3003096,N0000175964,B01AA
3003097,N0000007606,S02AA
3003098,N0000011301,G03AC
3003099,N0000170119,A10BG
3003100,N0000175755,N04BA
3003101,N0000182140,N03AX
3003102,N0000007606,J01MA
3003103,N0000000150,D01AE
3003104,N0000009947,J05AF
3003105,N0000009911,G04BE
3003107,N0000007700,D05BB
3003108,N0000000115,G03XB
3003109,N0000009947,J05AF
3003110,N0000000069,C08CA
3003111,N0000011161,J01DD
3003112,N0000009871,A06AG
3003113,N0000008217,D01AC
3003114,N0000185506,J01XA
3003115,N0000000190,R06AA
3003116,N0000011161,J01DB
3003117,N0000175763,N02CC
3003118,N0000175479,D10AF
3003119,N0000185506,J05AE
3003120,N0000011161,J01DD
3003121,N0000000190,R06AX
3003122,N0000000236,L01XB
3003123,N0000191273,B02BX
3003124,N0000007529,J01FA
3003125,N0000185507,L01EC
3003126,N0000187064,N03AF
3003127,N0000007883,N06BA
3003128,N0000000109,N06AX
3003129,N0000175721,N02BA
3003130,N0000007544,N05AA
3003131,N0000007700,D10AD
3003132,N0000175459,J05AB
3003133,N0000182140,J01XA
3003134,N0000182638,J05AP
3003135,N0000175076,L01EA
3003136,N0000182141,J02AC
3003137,N0000011281,J01CA
3003138,N0000175508,J02AX
3003139,N0000020024,C05BB
3003140,N0000011281,J01CF
3003141,N0000175542,J05AC
3003142,N0000009393,R07AB
3003143,N0000175076,L01EA
3003144,N0000000202,J01CG
3003145,N0000187062,J01EA
3003146,N0000007948,J01AA
3003147,N0000008486,N03AX
3003148,N0000000069,C08CA
3003149,N0000008486,N03AA
3003150,N0000009947,J05AF
3003151,N0000175654,L02AE
3003152,N0000000102,N06BA
3003153,N0000007522,D01AE
3003154,N0000175650,C02AA
3003155,N0000175087,G04BX
3003156,N0000006290,B02BA
3003157,N0000000069,C08CA
3003158,N0000175764,N02CC
