,ANAT,DIAG
2597194,29680,0002410
2597195,2564,0001305
2597197,2396,0002298
2597198,52100,0001710
2597201,73300,0002515
2597204,346,0004535
2597206,1649,0001744
2597207,5859,0001288
2597208,410,0002351
2597210,2859,0001988
2597211,3459,0000045
2597212,2564,0002512
2597214,1490,0001734
2597215,1844,0001821
2597216,2990,0001016
2597218,410,0002137
2597219,157,0002010
2597220,73300,0004288
2597221,1361,0002250
2597222,1521,0000029
2597223,74910,0001456
2597224,3320,0001324
2597225,3459,0001677
2597231,31401,0002148
2597233,1429,0001598
2597234,5859,0000013
2597236,5790,0001744
2597239,27800,0000949
2597240,31401,0000955
2597241,2396,0002286
2597245,1560,0001193
2597248,1429,0001678
2597250,387,0000211
2597251,1560,0002394
2597253,1840,0001295
2597255,2189,0002081
2597256,5569,0001744
2597258,1909,0001783
2597261,2396,0002606
2597262,303,0001494
2597264,6960,0004452
2597265,477,0002365
2597270,0461,0002298
2597272,2564,0001088
2597274,7140,0001467
2597275,365,0001783
2597280,084,0002390
2597282,346,0001633
2597283,0309,0002103
2597284,27800,0001530
2597285,7140,0004452
2597288,7159,0001467
2597289,5859,0002135
2597291,188,0002367
2597292,99791,0001805
2597293,53085,0001007
2597294,33394,0000978
2597295,5920,0001132
2597297,5234,0001716
2597298,084,0001969
2597299,1429,0001785
2597300,99791,0001225
2597304,1490,0001598
2597305,5859,0001021
2597306,99791,0001627
2597308,7200,0001470
2597309,1361,0001585
2597312,6960,0001461
2597313,27800,0002162
2597314,3459,0001896
2597315,2990,0001893
2597316,3310,0002285
2597318,1490,0001710
2597320,1892,0001285
2597321,5569,0002378
2597323,157,0001264
2597325,2777,0000013
2597326,1619,0000029
2597330,5770,0001988
2597331,1490,0001764
2597332,2859,0002371
2597334,3459,0001908
2597337,340,0002518
2597339,150,0000974
2597341,150,0001640
2597342,7200,0002414
2597343,6060,0001343
2597345,2396,0001649
2597347,3459,0002298
2597348,157,0000006
2597355,1361,0001090
2597356,1940,0002053
2597358,7100,0002371
2597360,2396,0002362
2597361,2396,0001844
2597362,5859,0001585
2597363,1640,0001884
2597365,1909,0001697
2597366,1830,0003889
2597367,52100,0001832
2597371,6060,0001968
2597374,0309,0001461
2597375,5234,0002397
2597376,27800,0001348
2597377,1892,0000999
2597378,303,0002466
2597380,7140,0001490
2597382,440,0001529
2597383,1909,0001750
2597384,1830,0001237
2597385,186,0000998
2597387,27800,0000011
2597389,2396,0001707
2597390,5920,0001008
2597391,6960,0001530
2597392,7100,0002113
2597393,5790,0001970
2597394,33520,0000955
2597397,2449,0001348
2597402,2859,0002134
2597403,303,0002410
2597408,2990,0001910
2597410,303,0001021
2597411,365,0001796
2597412,1490,0001037
2597413,33520,0000922
2597416,2449,0002385
2597419,157,0001193
2597420,36250,0001771
2597421,157,0002017
2597422,5569,0001970
2597423,74910,0001716
2597425,365,0002384
2597428,1922,0002298
2597429,3320,0001723
2597431,7200,0001130
2597432,303,0001007
2597433,3310,0001016
2597434,70901,0002097
2597437,7140,0002413
2597439,157,0002005
2597442,2189,0000997
2597443,2564,0001037
2597445,1844,0000483
2597446,29680,0001969
2597447,99791,0001288
2597448,5234,0000165
2597449,3470,0002410
2597451,303,0002368
2597452,1429,0001750
2597454,36250,0001620
2597457,188,0000474
2597458,2396,0001633
2597459,179,0000995
2597460,7140,0002385
2597463,73300,0002516
2597465,27400,0001488
2597466,188,0001000
2597468,295,0000991
2597472,1922,0001323
2597473,74910,0001598
2597474,410,0002012
2597477,150,0001007
2597479,2564,0000949
2597480,2396,0000033
2597482,1552,0001174
2597483,27800,0001970
2597484,7140,0001833
2597485,31401,0001037
2597489,36250,0000970
2597492,5920,0001288
2597494,1840,0000056
2597497,1909,0000964
2597498,7200,0002018
2597499,2189,0001072
2597500,3459,0000955
2597501,99791,0001310
2597503,346,0001645
2597509,27800,0001464
2597510,1361,0002360
2597511,179,0001815
2597513,387,0001694
2597514,3320,0000013
2597515,36250,0001619
2597517,410,0002410
2597518,157,0001175
2597519,3310,0001908
2597521,99791,0001620
2597523,3459,0001890
2597524,410,0002441
2597528,1830,0000483
2597529,186,0001105
2597532,2449,0001235
2597535,2396,0000004
2597537,7159,0002102
2597538,1922,0002360
2597539,188,0002066
2597542,1844,0001003
2597543,30723,0000955
2597544,5234,0001831
2597546,1844,0001300
2597550,73300,0002204
2597551,340,0001780
2597552,27800,0001305
2597558,31401,0001890
2597559,7200,0001469
2597560,346,0002441
2597563,27400,0001465
2597565,3310,0002130
2597566,157,0001174
2597572,1361,0001891
2597573,3459,0002285
2597574,5859,0002516
2597575,346,0001762
2597576,410,0002016
2597577,365,0000211
2597578,5859,0001971
2597579,2859,0002368
2597580,1429,0000029
2597583,1940,0002411
2597584,1892,0001088
2597585,1874,0001300
2597586,73300,0002389
2597587,1552,0002017
2597588,70401,0002097
2597589,3320,0001148
2597592,303,0001089
2597593,387,0002501
2597594,74910,0001833
2597595,410,0001404
2597597,1830,0001305
2597602,1830,0001296
2597606,6960,0002205
2597607,1909,0001598
2597609,1649,0001585
2597610,1490,0000165
2597612,1361,0001673
2597613,99791,0001184
2597614,70401,0002067
2597616,3459,0002240
2597617,3320,0001989
2597620,5920,0001184
2597623,477,0002392
2597624,7159,0001484
2597625,1490,0002517
2597629,410,0000178
2597631,74910,0002517
2597633,7140,0002204
2597635,74910,0001756
2597641,295,0001969
2597642,5770,0001970
2597643,179,0000483
2597647,3459,0002028
2597648,5569,0002405
2597649,3320,0001490
2597652,340,0002298
2597653,2396,0001893
2597654,29680,0002286
2597656,74910,0001707
2597657,295,0002129
2597658,4461,0002389
2597659,5234,0001675
2597660,1429,0001831
2597663,346,0001620
2597665,33520,0001780
2597668,1640,0001132
