,DIAG,SYMP
2593982,1909,36361
2593984,5790,7813
2593988,1490,38830
2593989,303,2911
2593996,1649,7780
2593998,7140,3891
2594000,7100,78630
2594009,7100,392
2594013,2449,392
2594014,346,37942
2594019,6960,71940
2594021,30723,3334
2594024,2396,78001
2594028,2449,7961
2594037,5920,7897
2594039,461,36846
2594040,2990,75983
2594041,1552,5780
2594042,29680,78052
2594045,3320,3536
2594048,31401,32731
2594052,477,7823
2594055,387,38920
2594061,3320,59654
2594067,84,32735
2594072,84,7912
2594073,387,3891
2594083,5790,56400
2594085,157,7830
2594086,3320,78830
2594088,29680,7801
2594105,461,78093
2594106,303,7801
2594113,1519,78900
2594120,2396,38830
2594128,33394,3536
2594129,157,7245
2594135,2396,78451
2594138,1490,34981
2594141,346,338
2594144,340,36841
2594147,346,7235
2594148,27800,27801
2594152,7100,3891
2594163,29680,32731
2594169,1490,36811
2594170,410,413
2594172,346,4131
2594173,1640,78650
2594174,340,392
2594181,365,36281
2594182,73300,7245
2594186,7159,3381
2594195,7200,7231
2594204,7200,38610
2594205,31401,3077
2594208,1361,3429
2594217,185,78830
2594219,3459,30012
2594224,31401,78057
2594225,1649,7862
2594229,30723,7235
2594230,185,3441
2594235,303,78093
2594239,2859,7780
2594241,150,7830
2594248,70401,7817
2594252,30723,317
2594253,340,78093
2594258,410,4131
2594260,340,78830
2594268,340,78194
2594272,461,3332
2594276,2396,36811
2594278,5716,3686
2594283,157,7994
2594290,7200,3449
2594292,1552,7994
2594297,2396,34981
2594301,1649,7245
2594303,188,78060
2594307,1552,78791
2594320,1552,78900
2594321,2859,78900
2594324,340,3441
2594326,1649,7861
2594330,2396,7816
2594331,1552,7780
2594334,2396,7813
2594337,188,78842
2594344,33394,32742
2594346,5770,5780
2594347,2396,7803
2594355,1521,78900
2594363,99791,78842
2594372,2396,37855
2594373,1490,3887
2594377,33520,7862
2594381,33520,7813
2594392,309,7823
2594395,1619,7861
2594398,7140,7994
2594401,36250,36361
2594410,2189,338
2594424,1909,36811
2594428,7100,7840
2594430,5569,78341
2594433,2396,3332
2594434,73300,34400
2594436,27800,78322
2594441,1649,3449
2594445,2189,7881
2594448,7200,7235
2594451,2990,3077
2594453,186,7245
2594455,30723,3332
2594457,1490,38861
2594459,3320,7961
2594465,1519,78791
2594467,2449,3891
2594469,179,7830
2594471,4461,78194
2594473,2396,31323
2594475,346,7897
2594479,3320,33394
2594480,3320,33382
2594483,1649,7823
2594490,2396,36846
2594491,1922,3441
2594493,2449,72982
2594496,1922,7242
2594498,1844,338
2594499,1909,37923
2594500,1940,7835
2594502,2859,78261
2594510,1490,78057
2594511,2189,78900
2594513,2564,27802
2594522,365,36361
2594531,1940,7242
2594533,7140,7245
2594537,2990,56400
2594539,1619,3887
2594540,1490,7861
2594541,185,79902
2594554,365,36854
2594556,365,7823
2594565,3320,78442
2594568,2777,27800
2594569,440,32723
2594573,150,7994
2594576,33520,7961
2594578,73300,7197
2594579,2990,75831
2594581,3470,78052
2594589,74910,3890
2594594,186,3441
2594598,84,36281
2594606,7140,7813
2594607,188,3441
2594610,295,31323
2594612,1922,7243
2594620,1940,4580
2594629,5770,2870
2594639,1361,36811
2594642,51631,7861
2594645,51631,7862
2594646,303,36854
2594650,5569,71940
2594659,7140,3890
2594662,150,47830
2594670,2449,78001
2594671,2990,317
2594672,186,7580
2594682,2859,363
2594684,157,338
2594688,179,78060
2594691,99791,7910
2594703,36250,7823
2594721,346,38610
2594732,2990,7813
2594739,3459,33523
2594740,4461,78900
2594744,1640,7862
2594749,3459,3429
2594757,188,78900
2594758,295,7801
2594766,150,5780
2594768,3459,78060
2594771,309,7961
2594772,2859,7910
2594778,340,33523
2594780,461,78052
2594781,1649,78262
2594784,2859,3381
2594791,150,78441
2594792,3459,30746
2594793,477,78057
2594795,33520,72982
2594800,2859,28731
2594804,387,38842
2594807,73300,3429
2594808,1519,7830
2594811,303,36800
2594812,303,78262
2594816,3459,7817
2594822,5920,7910
2594828,5859,2870
2594830,1519,56400
2594833,99791,7961
