,SYMP,DRUG
634,7872,M03BX
635,7802,N02CC
637,78052,R06AX
638,78052,C07AG
639,7840,N07BB
640,7802,C03DA
641,2875,L01XX
642,7821,N05AH
643,7295,N02AX
644,7802,G02CC
645,6959,L01BA
646,7840,N06AX
647,4279,C03AA
648,7840,N06AX
650,7840,N06DA
651,7823,N07BC
652,78900,A04AA
653,2875,J04AK
654,56400,S01EB
655,7863,L01DB
656,4279,L01XX
657,78192,N05AX
658,56400,C09AA
659,71690,N04BD
660,7295,L01BC
661,37520,C02DA
662,485,L01BC
663,78791,C08CA
664,78900,N05AE
665,7802,G01AA
666,5997,C09CA
667,27651,C02CA
668,7840,J05AB
669,2699,G03AD
670,7840,R01AC
671,7231,G04CA
672,78820,N03AX
673,5997,L01EA
674,27651,N05BA
675,78550,C09CA
676,72885,S01EB
677,2699,C03DA
678,78791,C08DA
679,7821,A03AA
680,5849,C10AA
681,71690,N06AX
682,5119,L01BC
683,7840,G04BD
684,78650,R03AB
685,78052,A07EA
686,78550,N06BA
687,3689,N07BC
688,78791,L01EB
689,71690,G04BE
690,78791,L01AA
691,78605,N05BA
692,78052,C08CA
693,72885,N03AG
694,2875,B01AC
695,5789,B01AC
696,27651,A10BK
697,3689,M01AB
698,78605,C07AB
699,4279,L04AX
700,78605,N05CF
701,78605,J05AE
702,7802,L01DB
703,7231,M03BX
704,71690,A06AX
705,78550,A10BB
706,7872,C01BC
707,7242,C09AA
708,7823,C05AA
709,78550,N02AA
710,3689,L01CE
711,78550,N04BC
712,27651,L01XA
713,6959,S03BA
714,7821,C01BB
715,586,J04AB
716,56400,N02BF
717,6959,S01JA
718,7840,D07AB
719,78605,L01XX
720,2699,A10BH
721,5119,N03AX
722,78791,J01XA
723,4589,C10AD
724,7802,G04CA
725,4589,C01CA
726,78900,J04AK
727,7802,C08DA
728,78052,J01EC
729,78900,J02AC
730,7231,N06AX
731,7821,J05AE
732,7840,S01EC
733,78650,G04CA
734,78791,N07CA
735,56400,C03DB
736,7825,J01CE
737,78900,C09CA
738,7802,B01AF
739,4589,J01CF
740,7840,N06AX
741,7821,N05AB
742,56400,N05AE
743,3899,P01BA
744,7821,C09CA
745,2875,N06AA
746,7821,J01EC
747,7821,C02AB
748,78900,P02CA
749,78605,P01AX
750,7821,L01DB
751,4589,L01CA
752,78052,N02CC
753,78906,S01BC
754,78052,R03DA
756,6959,C08CA
757,5849,N06AB
758,5997,J01DD
759,78820,C03CA
760,7802,R03AB
761,2699,B05BC
762,7840,J05AE
763,56400,C03AA
764,56400,N06AX
765,5119,J01AA
766,2699,G02CC
767,78900,N06BA
768,7821,N02BA
769,7802,A04AD
771,78605,G04BD
772,6959,R06AE
773,586,J01DH
774,78900,A01AC
776,78791,L01DB
778,7840,J01DD
779,7821,N02AC
780,7821,J05AF
781,78791,N03AB
782,72885,A05AA
783,7821,C08CA
784,3441,L01BA
785,78900,L01BC
786,78605,N05BE
787,7840,D10AF
788,2875,N03AX
789,5789,L01AA
790,56400,G02CC
791,7295,B01AC
792,78605,C09AA
793,7840,J01EA
794,56400,J01XD
795,4131,C08CA
796,78900,S01EE
797,78052,N06AX
798,78052,A03FA
799,78052,N02CC
800,2875,N03AB
801,72885,N05AH
802,7872,N07XX
803,27651,C03CA
804,7840,H02AA
805,78605,M05BA
806,7872,N05AB
807,5849,B01AC
808,78650,L01DB
809,7872,C09CA
810,78650,N05AX
811,7863,J01MA
812,78900,A10BX
813,6959,D05AX
814,78820,C02DB
815,4589,N05BC
816,4589,R03CC
817,7802,N02AA
818,56400,M01AH
819,27651,N06AX
820,78605,N06BA
821,5780,L01XB
822,56400,L01EA
823,5119,C01BA
824,5789,J01MA
825,7907,N06AX
826,7872,G04BD
827,37520,C04AD
828,78900,J01DD
829,78650,N06AG
830,2875,R06AA
831,37520,J05AC
832,56400,C07AG
833,7823,S01BC
834,78550,V03AB
835,586,L01BA
836,3689,M03BX
837,7872,N05AB
838,78650,J02AC
839,78900,D01AC
840,586,P01BC
841,7840,A03AB
842,586,L01BC
843,78550,J01CE
844,78906,D09AA
845,78550,L01XX
846,7821,J01CE
847,7821,L01CE
848,7295,M05BA
849,2875,N06AX
850,7802,C01BD
851,7802,G03AD
852,78650,S01AA
853,72885,L01EA
854,7821,A02BC
855,2699,N05AH
856,4279,H05BX
857,56400,M01AG
858,4279,N05AB
859,586,J05AG
860,2875,J05AG
861,5849,J01MA
862,78820,G04BD
863,7823,C01DA
864,2875,D01AE
865,4589,L01AD
866,78900,B01AF
867,78605,N06DA
868,4279,C09AA
869,7840,S02BA
870,7821,A07EC
871,3689,S01ED
873,7823,C03CA
874,2875,L01EA
875,78791,N03AX
876,7802,G03DA
877,78052,C10AA
878,78900,M01AE
879,78650,M01AE
880,78650,J01MA
881,37100,A16AX
882,7821,N06AA
883,7823,C07AB
884,4279,N05BC
885,586,M01AH
886,7812,M03BX
887,7231,A02BC
888,72885,G03XB
889,7821,J01MA
890,7840,C10AC
891,9916,N05BA
892,4589,C03AA
893,78791,S01GX
894,3899,J05AE
895,3689,C07AA
896,586,N05AX
897,78550,S01EB
898,7231,C09AA
899,7231,C08CA
901,37520,L01XX
902,78650,N06BA
903,72885,N07XX
904,7231,N01BB
905,78791,V03AC
906,78550,M02AA
907,4589,N02AA
908,7872,M01AH
909,78900,A16AA
910,72885,C07AA
911,78650,C09AA
912,7840,N04BC
914,7295,A02BC
915,27651,R05DA
916,78052,N02AA
917,78900,S01AA
918,7823,L01AA
919,7821,C01CA
920,27651,N02AA
921,7823,L01DC
922,7823,V03AC
