,PHARMACLASS,DRUG
3002929,N0000008048,N03A
3002930,N0000187061,L01E
3002931,N0000175628,R01A
3002932,N0000175685,N02A
3002933,N0000175076,L04A
3002934,N0000175460,J05A
3002935,N0000175375,C10A
3002936,N0000175685,N02A
3002937,N0000175359,C03B
3002938,N0000009917,R01B
3002939,N0000187064,J05A
3002940,N0000185607,L01E
3002942,N0000175651,N06B
3002943,N0000000236,L01A
3002944,N0000184148,L01X
3002945,N0000008054,A10B
3002947,N0000007681,N01B
3002948,N0000006277,A11C
3002949,N0000178478,C01C
3002950,N0000175975,N05C
3002951,N0000171131,C05A
3002952,N0000185503,L01E
3002953,N0000000236,L01A
3002954,N0000007909,D05B
3002955,N0000175379,D11A
3002956,N0000007948,J01A
3002957,N0000175817,A04A
3002958,N0000008841,D10A
3002959,N0000175635,B01A
3002960,N0000005934,G03D
3002961,N0000007948,D06A
3002962,N0000187064,J05A
3002963,N0000008486,N03A
3002964,N0000009905,C05B
3002965,N0000011281,J01C
3002966,N0000000174,A07D
3002967,N0000175721,N02B
3002968,N0000007706,S01E
3002969,N0000175366,C03C
3002970,N0000011310,C03D
3002971,N0000007529,S01A
3002972,N0000007542,N05C
3002973,N0000175975,N01A
3002974,N0000175914,H01B
3002975,N0000175450,S01B
3002976,N0000175729,N06B
3002977,N0000000176,L01C
3002978,N0000190110,L01E
3002979,N0000182141,A04A
3002980,N0000000106,S01E
3002981,N0000008054,V04C
3002982,N0000000070,C09C
3002983,N0000185507,N03A
3002984,N0000008053,J04B
3002985,N0000182143,B01A
3002987,N0000000102,N06A
3002988,N0000009922,R03C
3002989,N0000190115,H02C
3002990,N0000010217,L01X
3002991,N0000185503,R07A
3002992,N0000175912,A10B
3002993,N0000175976,N01B
3002994,N0000175085,L01X
3002995,N0000190114,L01E
3002996,N0000000206,M04A
3002997,N0000185506,N03A
3002998,N0000011301,G03A
3002999,N0000182143,B01A
3003000,N0000175965,B02B
3003001,N0000007715,C01C
3003002,N0000170118,C10A
3003003,N0000190107,B02B
3003004,N0000007715,R03A
3003005,N0000007706,G02A
3003006,N0000000190,S01G
3003007,N0000000154,N07B
3003008,N0000182141,L04A
3003009,N0000175076,L01E
3003010,N0000008217,A01A
3003011,N0000008478,D09A
3003012,N0000167510,G03C
3003013,N0000011301,G03A
