,SYMP,DRUG
642,7821,N05A
643,7295,N02A
644,7802,G02C
645,6959,L01B
646,7840,N06A
647,4279,C03A
648,7840,N06A
650,7840,N06D
651,7823,N07B
652,7890,A04A
653,2875,J04A
654,5640,S01E
655,7863,L01D
656,4279,L01X
657,78192,N05A
658,5640,C09A
659,7169,N04B
660,7295,L01B
661,3752,C02D
662,4850,L01B
663,78791,C08C
664,7890,N05A
665,7802,G01A
666,5997,C09C
667,27651,C02C
668,7840,J05A
669,2699,G03A
670,7840,R01A
671,7231,G04C
672,7882,N03A
673,5997,L01E
674,27651,N05B
675,7855,C09C
676,72885,S01E
677,2699,C03D
678,78791,C08D
679,7821,A03A
680,5849,C10A
681,7169,N06A
682,5119,L01B
683,7840,G04B
684,7865,R03A
685,78052,A07E
686,7855,N06B
687,3689,N07B
688,78791,L01E
689,7169,G04B
690,78791,L01A
691,78605,N05B
692,78052,C08C
693,72885,N03A
694,2875,B01A
695,5789,B01A
696,27651,A10B
697,3689,M01A
698,78605,C07A
699,4279,L04A
700,78605,N05C
701,78605,J05A
702,7802,L01D
703,7231,M03B
704,7169,A06A
705,7855,A10B
706,7872,C01B
707,7242,C09A
708,7823,C05A
709,7855,N02A
710,3689,L01C
711,7855,N04B
712,27651,L01X
713,6959,S03B
714,7821,C01B
715,5860,J04A
716,5640,N02B
717,6959,S01J
718,7840,D07A
719,78605,L01X
720,2699,A10B
721,5119,N03A
722,78791,J01X
723,4589,C10A
724,7802,G04C
725,4589,C01C
726,7890,J04A
727,7802,C08D
728,78052,J01E
729,7890,J02A
730,7231,N06A
731,7821,J05A
732,7840,S01E
733,7865,G04C
734,78791,N07C
735,5640,C03D
736,7825,J01C
737,7890,C09C
738,7802,B01A
739,4589,J01C
740,7840,N06A
741,7821,N05A
742,5640,N05A
743,3899,P01B
744,7821,C09C
745,2875,N06A
746,7821,J01E
747,7821,C02A
748,7890,P02C
749,78605,P01A
750,7821,L01D
751,4589,L01C
752,78052,N02C
753,78906,S01B
754,78052,R03D
756,6959,C08C
757,5849,N06A
758,5997,J01D
759,7882,C03C
760,7802,R03A
761,2699,B05B
762,7840,J05A
763,5640,C03A
764,5640,N06A
765,5119,J01A
766,2699,G02C
767,7890,N06B
768,7821,N02B
769,7802,A04A
771,78605,G04B
772,6959,R06A
773,5860,J01D
774,7890,A01A
776,78791,L01D
778,7840,J01D
779,7821,N02A
